CANONICAL_SMILES,INCHIKEY,common_name,appears_in_N_ds
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,HSUGRBWQSSZJOP-LBAQZLPGSA-N,Diltiazem,4
CC#C[C@]1(O)CC[C@H]2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)C[C@@]21C,BHZCGCMWEVHUBA-ZLMDOPAYSA-N,mifepristone,4
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,HBNPJJILLOYFJU-VMPREFPWSA-N,mibefradil,4
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,BFPYWIDHMRZLRN-SLHNCBLASA-N,Ethinylestradiol,3
O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,RRGUKTPIGVIEKM-UHFFFAOYSA-N,cilostazol,3
COc1c2occc2c(OC)c2c(=O)cc(C)oc12,HSMPDPBYAYSOBC-UHFFFAOYSA-N,Khellin,3
COc1ccccc1N1CCN(CC(C(=O)NC(C)(C)C)c2ccccc2)CC1,UMTDAKAAYOXIKU-UHFFFAOYSA-N,"N-(1,1-Dimethylethyl)-4-(2-methoxyphenyl)-I+/--phenyl-1-piperazinepropanamide",3
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,FUBVWMNBEHXPSU-UHFFFAOYSA-N,N-{10-[3-(morpholin-4-yl)propanoyl]-10H-phenothiazin-2-yl}ethoxycarboximidicacid,3
COc1ccc(CCN(C)CCC[C@@](C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC,XQLWNAFCTODIRK-NDEPHWFRSA-N,gallopamil,3
CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1C[C@@H](O)CC(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CBVCZFGXHXORBI-IXVTTXLYSA-N,indinavir,3
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,ZAFYATHCZYHLPB-UHFFFAOYSA-N,zolpidem,3
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-OZXSUGGESA-N,ketoconazole,3
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,HPJKCIUCZWXJDR-UHFFFAOYSA-N,letrozole,3
CCC(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,PCZOHLXUXFIOCF-SGFUJYLFSA-N,lovastatin,3
Cc1cnc(NC(=O)C2C(=O)c3ccccc3S(=O)(=O)N2C)s1,ZAHQBPYQBHTECE-UHFFFAOYSA-N,meloxicam,3
